"","0.1290","0.2580","0.3870","0.5160","0.6450","0.7740","0.8385","0.9030",
"-40.0000","0.7344","0.7344","0.7344","0.7344","0.7344","0.7344","0.7344","0.7344",
"-30.0000","0.7344","0.7344","0.7344","0.7344","0.7344","0.7344","0.7344","0.7344",
"-20.0000","0.7344","0.7344","0.7344","0.7344","0.7344","0.7344","0.7344","0.7344",
"-10.0000","0.0000","0.0000","0.0000","0.0000","0.7344","0.7344","0.7344","0.7344",
"0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.7344","0.7344","0.7344",
"10.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.3675","0.3675","0.3675",
"20.0000","-0.0507","-0.0507","-0.0507","-0.0507","-0.0507","-0.0507","-0.0507","-0.0507",
"30.0000","-0.0507","-0.0507","-0.0507","-0.0507","-0.0507","-0.0507","-0.0507","-0.0507",
"40.0000","-0.0507","-0.0507","-0.0507","-0.0507","-0.0507","-0.0507","-0.0507","-0.0507",
"50.0000","-0.0507","-0.0507","-0.0507","-0.0507","-0.0507","-0.0507","-0.0507","-0.0507",
"60.0000","-0.0507","-0.0507","-0.0507","-0.0507","-0.0507","-0.0507","-0.0507","-0.0507",
"70.0000","-0.0507","-0.0507","-0.0507","-0.0507","-0.0507","-0.0507","-0.0507","-0.0507",
"80.0000","-0.0507","-0.0507","-0.0507","-0.0507","-0.0507","-0.0507","-0.0507","-0.0507",
"90.0000","-0.0507","-0.0507","-0.0507","-0.0507","-0.0507","-0.0507","-0.0507","-0.0507",
"100.0000","-0.0507","-0.0507","-0.0507","-0.0507","-0.0507","-0.0507","-0.0507","-0.0507",
"110.0000","-0.0507","-0.0507","-0.0507","-0.0507","-0.0507","-0.0507","-0.0507","-0.0507",
"",
"Series","Name","Unit",
"Table","Fuel - Closed Loop - Lean Limit/Adder - Alternate (maybe high load) - Lean Limit/Adder (TGV Open)","LAMBDA",
"X Axis","Fueling - Closed Loop - Calculated Load","G_PER_REV",
"Y Axis","Coolant Temperature","CELSIUS",
