"Time","Airflow - Turbo - Boost - Boost Target Final (Absolute)","Airflow - Turbo - Boost - Manifold Absolute Pressure","Airflow - Turbo - Wastegate - Duty Cycle Commanded","Analytical - Boost Pressure","Analytical - Estimated Power (Old Method)","Engine - Calculated Load","Engine - RPM","Fuel - Command - Corrections - AF Correction STFT","Fuel - Command - Corrections - AF Learn 1 (LTFT)","Ignition - Dynamic Advance Multiplier","Ignition - Feedback Knock","Ignition - Fine Knock Learn","PIDs - (10C5) Vehicle Speed","PIDs - (F404) Calculated Load Value","PIDs - (F405) Coolant Temperature","PIDs - (F40C) Engine Speed","PIDs - (F40E) Ignition Timing 1","PIDs - (F40F) Intake Air Temperature","PIDs - (F410) Mass Air Flow","PIDs - (F411) Throttle Opening Angle","PIDs - (F423) Fuel Pressure","PIDs - (F45C) Oil Temperature","Sensors - AF Ratio 1","Sensors - Barometric Pressure","Sensors - Manifold Absolute Pressure - Pressure Main","Throttle - Requested Torque - Main Accelerator Position","Transmission - Current Gear",
"2025-12-20T18:33:33.885391Z","9.19","9.62","0.00","-5.12","31439.61","0.53","3154","-0.07","0.39","1.00","0.00","0.00","25.00","25.88","89.00","3134","18.00","23.00","27.97","21.96","1173.36","97.00","0.992","14.74","","17.46","1.00",
"2025-12-20T18:33:33.916435Z","9.20","9.70","0.00","-5.04","31695.46","0.53","3172","-0.28","0.39","1.00","0.00","0.00","25.00","26.27","89.00","3163","18.00","23.00","27.97","21.96","1134.20","97.00","0.993","14.74","","17.58","1.00",
"2025-12-20T18:33:33.948461Z","9.21","9.65","0.00","-5.09","31788.93","0.53","3193","-0.40","0.39","1.00","0.00","0.00","26.00","26.27","89.00","3163","18.00","23.00","27.97","21.96","1134.20","97.00","0.992","14.74","","17.65","1.00",
"2025-12-20T18:33:33.986622Z","9.22","9.51","0.00","-5.23","32002.85","0.53","3219","-0.60","0.39","1.00","0.00","0.00","26.00","25.49","89.00","3209","18.00","23.00","27.63","21.96","1158.85","97.00","0.992","14.74","","17.78","1.00",
"2025-12-20T18:33:34.019043Z","9.25","9.50","0.00","-5.24","32258.91","0.53","3237","-0.89","0.39","1.00","0.00","0.00","26.00","25.49","89.00","3209","18.00","23.00","27.63","21.96","1158.85","97.00","0.993","14.74","","17.97","1.00",
"2025-12-20T18:33:34.049768Z","9.27","9.68","0.00","-5.06","32582.27","0.53","3255","-0.93","0.39","1.00","0.00","0.00","26.00","25.49","89.00","3209","18.00","23.00","27.63","21.96","1158.85","97.00","0.996","14.74","","18.23","1.00",
"2025-12-20T18:33:34.081761Z","9.29","9.79","0.00","-4.95","33054.79","0.54","3272","-0.50","0.39","1.00","0.00","0.00","26.00","26.67","89.00","3263","18.00","23.00","29.56","22.75","1121.14","97.00","0.999","14.74","","18.23","1.00",
"2025-12-20T18:33:34.119096Z","9.29","9.69","0.00","-5.05","33557.04","0.55","3287","-0.24","0.39","1.00","0.00","0.00","26.00","26.67","89.00","3263","18.00","23.00","29.56","22.75","1121.14","97.00","1.000","14.74","","18.23","1.00",
"2025-12-20T18:33:34.152547Z","9.29","9.79","0.00","-4.95","33829.53","0.55","3292","-0.17","0.39","1.00","0.00","0.00","26.00","27.45","89.00","3291","17.50","23.00","30.28","22.75","1155.95","97.00","0.998","14.74","","18.29","1.00",
"2025-12-20T18:33:34.183100Z","9.28","9.82","0.00","-4.93","33867.57","0.55","3299","0.02","0.39","1.00","0.00","0.00","26.00","27.45","89.00","3291","17.50","23.00","30.28","22.75","1155.95","97.00","0.998","14.74","","18.23","1.00",
"2025-12-20T18:33:34.215101Z","9.29","9.65","0.00","-5.09","34067.74","0.55","3314","0.31","0.39","1.00","0.00","0.00","26.00","27.45","89.00","3291","17.50","23.00","30.28","22.75","1155.95","97.00","0.996","14.74","","18.22","1.00",
"2025-12-20T18:33:34.252434Z","9.29","9.79","0.00","-4.95","34200.76","0.55","3326","0.35","0.39","1.00","0.00","0.00","27.00","26.67","89.00","3320","17.50","23.00","30.09","22.75","1138.55","97.00","0.995","14.74","","18.22","1.00",
"2025-12-20T18:33:34.284473Z","9.29","9.85","0.00","-4.89","34382.04","0.55","3340","0.70","0.39","1.00","0.00","0.00","27.00","26.67","89.00","3320","17.50","23.00","30.09","22.75","1138.55","97.00","0.997","14.74","","18.29","1.00",
"2025-12-20T18:33:34.316437Z","9.32","9.69","0.00","-5.05","34613.67","0.55","3355","0.82","0.39","1.00","0.00","0.00","27.00","26.67","89.00","3346","17.50","23.00","30.28","22.75","1203.82","97.00","0.996","14.74","","18.48","1.00",
"2025-12-20T18:33:34.349446Z","9.33","9.83","0.00","-4.91","34735.20","0.55","3364","1.09","0.39","1.00","0.00","0.00","27.00","26.67","89.00","3346","17.50","23.00","30.28","22.75","1203.82","97.00","0.996","14.74","","18.54","1.00",
"2025-12-20T18:33:34.385850Z","9.33","9.65","0.00","-5.09","35033.83","0.55","3394","1.32","0.39","1.00","0.00","0.00","27.00","26.27","89.00","3393","18.00","23.00","29.74","22.75","1153.05","97.00","0.994","14.74","","18.54","1.00",
"2025-12-20T18:33:34.417756Z","9.33","9.77","0.00","-4.97","35021.07","0.55","3404","1.58","0.39","1.00","0.00","0.00","27.00","26.27","89.00","3393","18.00","23.00","29.74","22.75","1153.05","97.00","0.993","14.74","","18.67","1.00",
"2025-12-20T18:33:34.449448Z","9.35","9.89","0.00","-4.86","35403.64","0.55","3424","1.68","0.39","1.00","0.00","0.00","27.00","26.27","89.00","3393","18.00","23.00","29.74","22.75","1153.05","97.00","0.991","14.74","","18.86","1.00",
"2025-12-20T18:33:34.481757Z","9.37","9.90","0.00","-4.84","35836.19","0.56","3447","1.76","0.39","1.00","0.00","0.00","28.00","27.45","89.00","3435","18.00","23.00","31.53","22.75","1147.25","97.00","0.988","14.74","","18.99","1.00",
"2025-12-20T18:33:34.519081Z","9.40","9.85","0.00","-4.89","36487.51","0.56","3466","1.46","0.39","1.00","0.00","0.00","28.00","27.45","89.00","3435","18.00","23.00","31.53","22.75","1147.25","97.00","0.982","14.74","","19.12","1.00",
"2025-12-20T18:33:34.552915Z","9.41","10.08","0.00","-4.66","36693.42","0.56","3480","1.02","0.39","1.00","0.00","0.00","28.00","27.84","89.00","3480","18.00","23.00","32.68","23.14","1174.81","97.00","0.978","14.74","","19.18","1.00",
"2025-12-20T18:33:34.583103Z","9.40","10.05","0.00","-4.69","37010.53","0.57","3493","0.71","0.39","1.00","0.00","0.00","28.00","27.84","89.00","3480","18.00","23.00","32.68","23.14","1174.81","97.00","0.973","14.74","","19.12","1.00",
"2025-12-20T18:33:34.615099Z","9.41","10.08","0.00","-4.66","37261.06","0.57","3498","0.23","0.39","1.00","0.00","0.00","28.00","27.84","89.00","3480","18.00","23.00","32.68","23.14","1174.81","97.00","0.970","14.74","","19.18","1.00",
"2025-12-20T18:33:34.652418Z","9.41","9.98","0.00","-4.76","37311.93","0.57","3518","0.31","0.39","1.00","0.00","0.00","28.00","27.45","89.00","3503","18.00","23.00","32.49","23.14","1192.21","97.00","0.970","14.74","","19.18","1.00",
"2025-12-20T18:33:34.684461Z","9.41","10.13","0.00","-4.61","37534.00","0.57","3523","0.28","0.39","1.00","0.00","0.00","28.00","27.45","89.00","3503","18.00","23.00","32.49","23.14","1192.21","97.00","0.974","14.74","","19.24","1.00",
"2025-12-20T18:33:34.716431Z","9.41","10.04","0.00","-4.70","37792.10","0.57","3546","0.09","0.39","1.00","0.00","0.00","28.00","27.84","89.00","3535","18.00","23.00","32.68","23.14","1196.56","97.00","0.976","14.74","","19.24","1.00",
"2025-12-20T18:33:34.752164Z","9.42","10.06","0.00","-4.68","37834.94","0.57","3563","0.01","0.39","1.00","0.00","0.00","29.00","27.84","89.00","3535","18.00","23.00","32.68","23.14","1196.56","97.00","0.974","14.74","","19.24","1.00",
"2025-12-20T18:33:34.785759Z","9.43","10.18","0.00","-4.56","38113.82","0.57","3582","-0.04","0.39","1.00","0.00","0.00","29.00","28.24","89.00","3581","18.00","23.00","33.82","23.14","1238.62","97.00","0.975","14.74","","19.63","1.00",
"2025-12-20T18:33:34.817764Z","9.50","10.08","0.00","-4.66","38398.65","0.57","3603","-0.32","0.39","1.00","0.00","0.00","29.00","28.24","89.00","3581","18.00","23.00","33.82","23.14","1238.62","97.00","0.975","14.74","","19.95","1.00",
"2025-12-20T18:33:34.852770Z","9.50","10.27","0.00","-4.47","38952.16","0.57","3621","0.03","0.39","1.00","0.00","0.00","29.00","28.24","89.00","3581","18.00","23.00","33.82","23.14","1238.62","97.00","0.973","14.74","","19.95","1.00",
"2025-12-20T18:33:34.885809Z","9.50","10.33","0.00","-4.41","39701.03","0.58","3644","-0.12","0.39","1.00","0.00","0.00","29.00","29.41","89.00","3632","18.00","23.00","35.92","23.92","1189.31","97.00","0.972","14.74","","19.95","1.00",
"2025-12-20T18:33:34.919208Z","9.50","10.30","0.00","-4.44","40136.94","0.58","3665","-0.31","0.39","1.00","0.00","0.00","29.00","29.41","89.00","3632","18.00","23.00","35.92","23.92","1189.31","97.00","0.970","14.74","","19.95","1.00",
"2025-12-20T18:33:34.952461Z","9.48","10.18","0.00","-4.56","40481.25","0.59","3684","0.01","0.39","1.00","0.00","0.00","29.00","29.80","89.00","3673","17.50","23.00","36.84","23.92","1266.18","97.00","0.972","14.74","","19.76","1.00",
"2025-12-20T18:33:34.986623Z","9.29","10.06","0.00","-4.68","40685.18","0.59","3700","0.22","0.39","1.00","0.00","0.00","30.00","29.80","89.00","3673","17.50","23.00","36.84","23.92","1266.18","97.00","0.973","14.74","","13.74","1.00",
"2025-12-20T18:33:35.019044Z","8.46","9.36","0.00","-5.38","38227.29","0.55","3711","0.52","0.39","1.00","0.00","0.00","30.00","21.57","89.00","3673","17.50","23.00","36.84","18.43","1266.18","97.00","0.972","14.74","","0.00","1.00",
"2025-12-20T18:33:35.052410Z","7.84","7.72","0.00","-7.02","31479.24","0.45","3717","0.60","0.39","1.00","0.00","0.00","30.00","21.57","89.00","3711","17.50","23.00","24.97","18.43","1332.90","97.00","0.972","14.74","","0.00","1.00",
"2025-12-20T18:33:35.084418Z","7.83","6.52","0.00","-8.22","23401.60","0.34","3697","0.54","0.39","1.00","0.00","0.00","30.00","21.57","89.00","3711","17.50","23.00","24.97","18.43","1332.90","97.00","0.968","14.74","","0.00","1.00",
"2025-12-20T18:33:35.116431Z","7.80","5.92","0.00","-8.82","19102.08","0.28","3668","-0.05","0.39","1.00","0.00","0.00","30.00","16.08","89.00","3685","21.00","23.00","23.24","16.47","1023.97","97.00","0.961","14.74","","0.00","1.00",
"2025-12-20T18:33:35.148416Z","7.79","5.12","0.00","-9.62","16182.37","0.24","3651","-0.34","0.39","1.00","0.00","0.00","30.00","16.08","89.00","3685","21.00","23.00","23.24","16.47","1023.97","97.00","0.959","14.74","","0.00","1.00",
"2025-12-20T18:33:35.185740Z","7.01","4.59","0.00","-10.15","14401.30","0.21","3621","-0.42","0.39","1.00","0.00","0.00","30.00","5.88","89.00","3622","20.50","23.00","7.37","16.08","841.22","97.00","0.963","14.74","","0.00","1.00",
"2025-12-20T18:33:35.218949Z","7.01","3.88","0.00","-10.86","11815.30","0.17","3615","-0.00","0.39","1.00","0.00","0.00","30.00","5.88","89.00","3622","20.50","23.00","7.37","16.08","841.22","97.00","0.971","14.74","","0.00","1.00",
