Time,AF Correction STFT (%),AF Learning Long Term (%),AF Ratio,Feedback Knock (°),Fine Knock Learn (°),Dynamic Advance Multiplier,Coolant Temp (°C),Oil Temp (°C),Mass Airflow Corrected (g/s),Throttle (%)
0.000,-1.2,-3.5,1.001,0.00,0.00,1.00,88,96,4.2,12
0.033,-0.8,-3.5,0.998,0.00,0.00,1.00,88,96,4.5,14
0.066,-1.5,-3.5,1.003,0.00,0.00,1.00,88,96,5.1,15
0.099,-0.5,-3.5,0.997,0.00,0.00,1.00,88,96,4.8,13
0.132,-1.1,-3.5,1.002,0.00,0.00,1.00,88,96,4.3,12
0.165,-0.9,-3.5,0.999,0.00,0.00,1.00,89,96,4.6,14
0.198,-1.3,-3.5,1.001,0.00,0.00,1.00,89,97,5.0,15
0.231,-0.7,-3.5,0.998,0.00,0.00,1.00,89,97,4.7,14
0.264,-1.0,-3.5,1.000,-1.41,0.00,1.00,89,97,4.4,13
0.297,-0.6,-3.5,0.999,0.00,0.00,1.00,89,97,4.5,13
0.330,-1.4,-3.5,1.002,0.00,0.00,1.00,89,97,4.9,14
0.363,-0.8,-3.5,0.997,0.00,0.00,1.00,89,97,4.6,14
0.396,-1.2,-3.5,1.001,0.00,0.00,1.00,90,97,4.3,12
0.429,-0.9,-3.5,0.998,0.00,0.00,1.00,90,97,4.7,14
0.462,-1.1,-3.5,1.000,0.00,0.00,1.00,90,98,5.2,16
0.495,-0.7,-3.5,0.999,0.00,0.00,1.00,90,98,4.8,15
0.528,-1.3,-3.5,1.002,0.00,0.00,1.00,90,98,4.4,13
0.561,-0.5,-3.5,0.997,0.00,0.00,1.00,90,98,4.6,14
0.594,-1.0,-3.5,1.001,0.00,0.00,1.00,90,98,4.5,13
0.627,-0.8,-3.5,0.999,0.00,0.00,1.00,90,98,4.7,14
